Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Shai Gilgeous-Alexander,26,OKC,PG,76,76,34.2,11.3,21.8,.519,2.1,5.7,.375,9.2,16.1,.571,.569,7.9,8.8,.898,0.9,4.1,5.0,6.4,1.7,1.0,2.4,2.2,32.7,MVP-1DPOY-10CPOY-8ASNBA1,gilgesh01
2,Giannis Antetokounmpo,30,MIL,PF,67,67,34.2,11.8,19.7,.601,0.2,0.9,.222,11.6,18.7,.620,.607,6.5,10.6,.617,2.2,9.7,11.9,6.5,0.9,1.2,3.1,2.3,30.4,MVP-3DPOY-8ASNBA1,antetgi01
3,Nikola Jokić,29,DEN,C,70,70,36.7,11.2,19.5,.576,2.0,4.7,.417,9.3,14.8,.627,.627,5.2,6.4,.800,2.9,9.9,12.7,10.2,1.8,0.6,3.3,2.3,29.6,MVP-2CPOY-2ASNBA1,jokicni01
4,Luka Dončić,25,2TM,PG,50,50,35.4,9.2,20.5,.450,3.5,9.6,.368,5.7,10.9,.522,.536,6.2,7.9,.782,0.8,7.4,8.2,7.7,1.8,0.4,3.6,2.5,28.2,,doncilu01
4,Luka Dončić,25,DAL,PG,22,22,35.7,9.8,21.2,.464,3.4,9.6,.354,6.4,11.5,.555,.544,5.1,6.6,.767,0.7,7.6,8.3,7.8,2.0,0.4,3.4,2.6,28.1,,doncilu01
4,Luka Dončić,25,LAL,PG,28,28,35.1,8.8,20.0,.438,3.6,9.6,.379,5.1,10.4,.493,.530,7.0,8.9,.791,0.9,7.2,8.1,7.5,1.6,0.4,3.7,2.4,28.2,,doncilu01
5,Anthony Edwards,23,MIN,SG,79,79,36.3,9.1,20.4,.447,4.1,10.3,.395,5.1,10.1,.501,.547,5.3,6.3,.837,0.8,4.9,5.7,4.5,1.2,0.6,3.2,1.9,27.6,MVP-7CPOY-3ASNBA2,edwaran01
6,Jayson Tatum,26,BOS,PF,72,72,36.4,9.2,20.3,.452,3.5,10.1,.343,5.7,10.2,.559,.537,5.0,6.1,.814,0.7,8.0,8.7,6.0,1.1,0.5,2.9,2.2,26.8,MVP-4CPOY-10ASNBA1,tatumja01
7,Kevin Durant,36,PHO,PF,62,62,36.5,9.5,18.1,.527,2.6,6.0,.430,7.0,12.1,.574,.598,4.9,5.8,.839,0.4,5.7,6.0,4.2,0.8,1.2,3.1,1.7,26.6,AS,duranke01
8,Tyrese Maxey,24,PHI,PG,52,52,37.7,9.2,21.0,.437,3.1,9.2,.337,6.1,11.8,.515,.511,4.9,5.6,.879,0.3,3.1,3.3,6.1,1.8,0.4,2.4,2.2,26.3,CPOY-10,maxeyty01
9,Cade Cunningham,23,DET,PG,70,70,35.0,9.8,20.8,.469,2.1,6.0,.356,7.6,14.8,.515,.521,4.5,5.3,.846,0.8,5.3,6.1,9.1,1.0,0.8,4.4,2.8,26.1,MVP-7ASNBA3,cunnica01
